# ALESS_ID    ALESS_NAME                ALESS_SAMPLE MS     MS_ID ACROLESS NAME_LESS            SUBID_ALMA MINAX_BEAM AXRATIO_BEAM POSANG_BEAM RMS_ALMA   RMS_ALMA_RESIDUAL RA_ALMA   ERA_ALMA    DEC_ALMA   EDEC_ALMA   SNR_ALMA_FIT FLUX_PEAK_FIT EFLUX_PEAK_FIT FLUX_PEAK_PX FLUX_BEST EFLUX_BEST FLUX_BEST_CORR EFLUX_BEST_CORR PB_FLAG PC_DIST    PBCORR    RA_870      DEC_870     S_870 DS_870 S_870_DEBOOST DS_870_DEBOOST SNR  RAradio       Decradio      Peakradio Totalradio RMSnoiseradio Majradio Minradio PAradio Flagradio SeparationRadio      ID24 S24mJy             S24errmJy   RA_S24     DEC_S24     SeparationS24        CATTYPE ID_PHOT Z_PHOT  ZE_L  ZE_H  MH     MSTELLAR      SET WB_DET WB_OBS VIMOS_U            MUSYC_U            MUSYC_U38          MUSYC_B            MUSYC_V            MUSYC_R            MUSYC_I            MUSYC_Z            MUSYC_J            HAWK_J             TENIS_J            MUSYC_H            MUSYC_K            HAWK_K             TENIS_K            SIMPLE_CH1         SIMPLE_CH2         SIMPLE_CH3         SIMPLE_CH4         VIMOS_UE   MUSYC_UE  MUSYC_U38E MUSYC_BE   MUSYC_VE   MUSYC_RE   MUSYC_IE   MUSYC_ZE   MUSYC_JE  HAWK_JE    TENIS_JE   MUSYC_HE   MUSYC_KE  HAWK_KE    TENIS_KE   SIMPLE_CH1E SIMPLE_CH2E SIMPLE_CH3E SIMPLE_CH4E flux250    flux250err_mc flux350    flux350err_mc flux500    flux500err_mc RAprior    Decprior    mapflux250         mapflux350          mapflux500         residualflux250     residualflux350     residualflux500     SeparationPrior       FLUX_070 FLUXERR_070 FLUX_100 FLUXERR_100 FLUX_160 FLUXERR_160 err250             err350             err500             Lbol         Lbol_lo      Lbol_hi      Mdust                Mdusterr             Tfit template template_norm specz  speczq
  ALESS001.1  "ALESS J033314.46-275614.5" 1            "  X95c" "  MS1" "LESS 1" LESSJ033314.3-275611 1          0.49245067 1.1554456    88.498772   0.41471338 0.41471329        53.31027  0.037432962 -27.937366 0.040107941 13.721208    5.6903687     0.41472018     5.4974508    5.6903687 0.41472018 6.7468167      0.49171524      1       4.2875111  1.1856555 03:33:14.26 -27:56:11.2 14.7  1.2    14.5          1.2            12.5 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   M       1       4.34    2.909 7.0   -24.9  1.37706996E11 m   5      15     999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                0.0                999.0              999.0              0.0                23.67554           0.0                22.810105694089682 22.71966740516845  22.27847468190389  21.867234609254236 0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.19368    0.0        0.0583613   0.0742995   0.190618    0.0574632   5.6845775  0.4601064     0.0        0.0           0.0        0.0           53.3102684 -27.9373665 10.511969216167927 25.04202164709568   28.5150408744812   0.9902326378499303  0.8502246268775125  0.4110093169012946  0.005397701842309608  ""       ""          ""       ""          ""       ""          2.76568341255188   5.196000099182129  5.5500664710998535 3.3476947E12 1.7042755E12 1.1009961E13 1.2652718730685601E9 9.221437166525608E7  24   150      0.004639315   4.954  3     
  ALESS001.2  "ALESS J033314.41-275611.6" 1            "  X95c" "  MS1" "LESS 1" LESSJ033314.3-275611 2          0.49245067 1.1554456    88.498772   0.41471338 0.41471329        53.310059 0.063671531 -27.936562 0.068242328 8.0701169    3.3467855     0.41472029     2.810717     3.3467855 0.41472029 3.48454        0.43179028      1       2.0866432  1.0411602 03:33:14.26 -27:56:11.2 14.7  1.2    14.5          1.2            12.5 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   M       2       4.645   3.624 6.981 -24.79 1.24439003E11 m   5      15     999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                0.0                999.0              999.0              0.0                24.03954           24.271605612195703 22.813105694089682 22.84166740516845  21.99047468190389  22.107234609254235 0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.262129   0.249487   0.0585186   0.0828064   0.149102    0.0712215   0.4186061  0.067787      0.0        0.0           0.0        0.0           53.3100586 -27.9365597 13.20573128759861  25.04202164709568   28.5150408744812   1.1076461411986023  1.034959734300562   0.4874379477985021  0.008377163787762598  ""       ""          -99.0    -99.0       -99.0    -99.0       3.0463733673095703 5.196000099182129  5.5500664710998535 3.4070229E12 1.8407982E12 6.3127945E12 7.147600013495706E8  8.8570204708665E7    32   53       0.0051167635  -99.0  4     
  ALESS001.3  "ALESS J033314.18-275612.3" 1            "  X95c" "  MS1" "LESS 1" LESSJ033314.3-275611 3          0.49245067 1.1554456    88.498772   0.41471338 0.41471329        53.309069 0.1154561   -27.936759 0.12394362  4.4493394    1.8452006     0.41471966     1.6400674    1.8452006 0.41471966 1.8885147      0.42445476      1       1.5826041  1.0234739 03:33:14.26 -27:56:11.2 14.7  1.2    14.5          1.2            12.5 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   M       3       2.845   2.545 3.05  -23.83 5.1399098E10  m   5      15     27.52111279378388  999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                0.0                999.0              999.0              0.0                23.79354           23.981605612195704 23.04710569408968  22.91766740516845  999.0              22.185234609254234 0.158821   0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.213856   0.19594    0.0721345   0.0885718   0.0         0.076344    10.7027512 0.6310234     16.685112  0.6187196     8.4122944  0.610487      53.3090706 -27.9367599 12.265274301171303 25.04202164709568   33.94235670566559  -0.0088160546174679 -0.1183066011259269 -0.2616974365484102 0.006032667391036828  ""       ""          ""       ""          ""       ""          2.306388516056378  3.5693343132381963 5.872699737548828  3.2477959E12 1.4417729E12 4.3982725E12 1.726409148077635E8  3.880205860240839E7  40   116      0.0035878036  -99.0  4     
  ALESS002.1  "ALESS J033302.69-275642.8" 1            "  Xf0b" "  MS5" "LESS 2" LESSJ033302.5-275643 1          0.49673078 1.5939335    97.623222   0.39148366 0.39148369        53.261188 0.05661855  -27.945211 0.085214494 9.1395669    3.5779911     0.39148837     3.8080354    3.5779911 0.39148837 3.8076435      0.41661594      1       2.5913731  1.0641847 03:33:02.50 -27:56:43.6 12.2  1.2    12.0          1.2            10.3 03:33:02.7149 -27:56:42.540 236.9     236.9      7.9           2.9      1.7      177.3   0         0.4516012675425477   ""   ""                 ""          ""         ""          ""                   M       4       1.96    1.756 2.234 -23.24 2.98508001E10 m   8      14     28.05111279378388  999.0              999.0              999.0              26.298452513423133 999.0              999.0              999.0              0.0                24.1955502         24.445241721334657 0.0                0.0                22.76354           23.033605612195704 21.918105694089682 21.657667405168453 21.34747468190389  21.830234609254237 0.248032   0.0       0.0        0.0        0.260769   0.0        0.0        0.0        0.0       0.196394   0.184826   0.0        0.0       0.0878821  0.0861693  0.0260513   0.0285371   0.084984    0.0555864   17.6634617 0.9265575     17.7759304 0.919198      19.9006062 0.9187527     53.260582  -27.9459438 30.806133523583412 40.3330884873867    33.81276875734329  -0.3126604639327733 -1.132664738151316  -2.354769067685381  3.267048539774427     ""       ""          5.7      1.4         16.0     3.4         3.2123156875458156 3.759866147710784  4.288995108266803  4.3943005E12 3.1764932E12 4.3943005E12 2.3983852647276694E8 2.6242097810539953E7 40   119      0.0010663153  2.1913 3     
  ALESS002.2  "ALESS J033303.07-275642.9" 1            "  Xf0b" "  MS5" "LESS 2" LESSJ033302.5-275643 2          0.49673078 1.5939335    97.623222   0.39148366 0.38691473        53.2628   0.082126951 -27.945252 0.12342666  6.3100342    2.4702753     0.39148759     2.2403255    2.4702753 0.39148759 4.2253106      0.66962442      1       7.6119286  1.7104614 03:33:02.50 -27:56:43.6 12.2  1.2    12.0          1.2            10.3 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   M       5       -3.92   2.5   4.4   -25.71 ""            m   3      14     999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                0.0                999.0              0.0                0.0                0.0                999.0              23.32110569408968  23.003667405168454 999.0              22.120234609254236 0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.0        0.0        0.0919862   0.0955605   0.0         0.0720515   11.5799932 0.7828102     17.6174908 0.7923117     11.5346937 0.6982875     53.2627983 -27.9452515 21.588528528809547 33.83706882596016   28.393123298883438 -0.5722135145131806 -1.3672996794619092 -2.2849515088048014 0.00569815483371203   ""       ""          ""       ""          ""       ""          2.4646008388994716 3.712668849392704  2.9298925011093337 5.6998872E12 2.5553427E12 7.7964347E12 4.733181045915052E8  7.501113912491688E7  37   114      0.016094251   -99.0  4     
  ALESS003.1  "ALESS J033321.50-275520.3" 1            "  X9fe" "  MS3" "LESS 3" LESSJ033321.5-275520 1          0.47031583 1.1388523    90.17765    0.39864323 0.39864326        53.339603 0.024719743 -27.922304 0.023835012 20.766617    8.2784713     0.398649       7.5537925    8.2784713 0.398649   8.2795546      0.39870117      1       0.11884525 1.0001309 03:33:21.51 -27:55:20.2 11.9  1.2    11.7          1.2            10.1 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   M       6       3.9     3.307 4.399 -25.51 2.41521E11    m   5      14     0.0                999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                999.0              0.0                999.0              0.0                23.11354           23.2436056121957   22.33510569408968  21.71366740516845  21.329474681903886 21.030234609254236 0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.119528   0.103704   0.0380382   0.030027    0.0836392   0.0269606   15.6782913 0.6748762     23.3302002 0.6470623     25.7961903 0.5512428     53.3396034 -27.9223042 20.48943191766739  26.321617886424065  30.027205124497414 -0.0695113453536709 0.3045542161067409  -0.3809233120683043 0.001461950843459797  ""       ""          -99.0    -99.0       -99.0    -99.0       2.927360515329893  4.288252568676558  5.0306333987676615 8.9505168E12 5.9760323E12 1.3615638E13 9.385338775792332E8  4.519501025761422E7  35   113      0.043985445   4.2373 3     
  ALESS003.2  "ALESS J033322.19-275520.9" 2            "  X9fe" "  MS3" "LESS 3" LESSJ033321.5-275520 2          0.47031583 1.1388523    90.17765    0.39864323 0.39183313        53.342461 0.09094617  -27.922486 0.10459682  5.6713707    2.2608535     0.39865056     1.7916569    2.2608535 0.39865056 4.830468       0.85174416      2       9.0527751  2.1365683 03:33:21.51 -27:55:20.2 11.9  1.2    11.7          1.2            10.1 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   S       7       1.39    1.049 1.762 -22.23 1.17749002E10 s   5      13     0.0                999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                0.0                999.0              0.0                0.0                24.04454           23.3896056121957   22.15210569408968  21.79166740516845  22.045474681903887 22.274234609254236 0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.263204   0.117847   0.0322247   0.0322306   0.156317    0.0826235   0.4727903  0.0506422     0.0        0.0           0.0        0.0           53.3427887 -27.921772  22.236373275518417 33.69758278131485   34.61382910609245  1.8352882062000122  1.5422501775503297  0.6864470794537919  2.7737191395357446    ""       ""          ""       ""          ""       ""          4.852266788482666  5.499666690826416  5.92443323135376   0.0          0.0          0.0          0.0                  0.0                  19   0        0.0           -99.0  4     
  ALESS003.3  "ALESS J033320.71-275514.0" 2            "  X9fe" "  MS3" "LESS 3" LESSJ033321.5-275520 3          0.47031583 1.1388523    90.17765    0.39864323 0.3800894         53.336294 0.11982437  -27.920555 0.11504662  4.3427818    1.7312205     0.39864992     1.4264311    1.7312205 0.39864992 6.9940457      1.610526        2       12.276717  4.0399507 03:33:21.51 -27:55:20.2 11.9  1.2    11.7          1.2            10.1 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   S       8       99.0    99.0  99.0  99.0   ""            s   0      13     0.0                999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.0        0.0        0.0         0.0         0.0         0.0         0.742945   0.0587998     0.0        0.0           0.0        0.0           53.3362923 -27.9205551 7.239352911710739  10.301841422915459  30.027205124497414 -1.067303182605537  0.616660541357227   0.6476657427127042  0.005419587808352044  ""       ""          ""       ""          ""       ""          2.4083266258239746 3.175999879837036  5.622666835784912  0.0          0.0          0.0          0.0                  0.0                  19   0        0.0           -99.0  4     
  ALESS003.4  "ALESS J033321.99-275509.8" 2            "  X9fe" "  MS3" "LESS 3" LESSJ033321.5-275520 4          0.47031583 1.1388523    90.17765    0.39864323 0.3800894         53.341644 0.12895575  -27.919379 0.12351161  4.0103111    1.5986834     0.39864959     1.4173499    1.5986834 0.39864959 6.4241163      1.6019253       2       12.253157  4.0183794 03:33:21.51 -27:55:20.2 11.9  1.2    11.7          1.2            10.1 ""            ""            ""        ""         ""            ""       ""       ""      ""        ""                   ""   ""                 ""          ""         ""          ""                   S       9       99.0    99.0  99.0  99.0   ""            s   0      13     0.0                999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0                999.0              999.0              999.0              999.0              999.0              999.0              999.0              0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.0        0.0        0.0         0.0         0.0         0.0         7.7533431  0.4566398     0.0        0.0           0.0        0.0           53.3416443 -27.9193783 20.93086764216423  31.055640429258347  34.61382910609245  0.0539177076086762  3.134393325310335   0.0850007241976866  0.002694639238195596  ""       ""          ""       ""          ""       ""          1.845707663376621  5.477966785430908  5.92443323135376   0.0          0.0          0.0          0.0                  0.0                  19   0        0.0           -99.0  4     
  ALESS005.1  "ALESS J033128.91-275909.0" 1            "  X95c" "  MS1" "LESS 5" LESSJ033129.5-275907 1          0.47439249 1.2607302    85.294884   0.40637857 0.39625493        52.870467 0.043957858 -27.98584  0.050244309 11.440694    4.6492527     0.40638446     4.6330619    4.6492527 0.40638446 7.7843738      0.68042086      1       7.4589993  1.674328  03:31:29.46 -27:59:07.3 10.1  1.2    10.0          1.2            8.5  03:31:28.8890 -27:59:09.542 41.7      41.7       8.8           3.0      1.4      175.6   0         0.6014869275181538   ""   ""                 ""          ""         ""          ""                   M       10      2.86    2.824 2.909 -25.71 2.90373009E11 m   13     13     0.0                24.829824213423134 24.75199921342313  23.14608211342313  22.110452513423134 21.329724413423133 20.69977371342313  20.604596013423134 0.0                20.2255502         20.260241721334655 0.0                0.0                19.786540000000002 19.790605612195705 19.34710569408968  19.497667405168453 19.86747468190389  20.094234609254237 0.0        0.083736  0.169682   0.0132874  0.00620884 0.00629875 0.00769488 0.0100478  0.0163962 0.00554485 0.00425991 0.0        0.0218747 0.00588326 0.00451437 0.00246693  0.00394767  0.0223852   0.0114667   10.5716639 0.7564645     22.8999157 0.6810284     22.4711571 0.682271      52.8704681 -27.9858398 22.32898958027363  30.013013631105423  32.278306782245636 -1.4639128525712857 -3.989176778879143  -1.7167906387288379 0.0035702845904169813 ""       ""          ""       ""          ""       ""          2.3267424714339158 4.251840394076127  4.605005727934199  4.9054624E12 4.2408212E12 5.3208626E12 3.4825522223713446E8 3.0440485503674317E7 38   105      4.7828975     -99.0  4     
